"","x"
"890","APC"
"891","APC"
"892","APC"
"893","APC"
"894","APC"
"895","APC"
"896","APC"
"897","APC"
"898","APC"
"899","APC"
"900","APC"
"901","APC"
"902","APC"
"903","APC"
"904","APC"
"905","APC"
"906","APC"
"907","APC"
"908","APC"
"909","APC"
"910","APC"
"911","APC"
"912","APC"
"913","APC"
"914","APC"
"915","APC"
"916","APC"
"917","APC"
"918","APC"
"919","APC"
"920","APC"
"921","APC"
"922","APC"
"923","APC"
"924","APC"
"925","APC"
"926","APC"
"927","APC"
"928","APC"
"929","APC"
"930","APC"
"931","APC"
"932","APC"
"933","APC"
"934","APC"
"935","APC"
"936","APC"
"937","APC"
"938","APC"
"939","APC"
"940","APC"
"941","APC"
"942","APC"
"943","APC"
"944","APC"
"945","APC"
"946","APC"
"947","APC"
"948","APC"
"949","APC"
"950","APC"
"951","APC"
"952","APC"
"953","APC"
"954","APC"
"955","APC"
"956","APC"
"957","APC"
"958","APC"
"959","APC"
"960","APC"
"961","APC"
"962","APC"
"963","APC"
"964","APC"
"965","APC"
"966","APC"
"967","APC"
"968","APC"
"969","APC"
"970","APC"
"971","APC"
"972","APC"
"973","APC"
"974","APC"
"975","APC"
"976","APC"
"977","APC"
"978","APC"
"979","APC"
"980","APC"
"981","APC"
"982","APC"
"983","APC"
"984","APC"
"985","APC"
"986","APC"
"987","APC"
"988","APC"
"989","APC"
"990","APC"
"991","NA"
"992","NA"
"993","NA"
"994","NA"
"995","NA"
"996","NA"
"997","NA"
"998","NA"
"999","NA"
"1000","NA"
"1001","NA"
"1002","NA"
"1003","NA"
"1004","NA"
"1005","NA"
"1006","NA"
"1007","NA"
"1008","NA"
"1009","NA"
"1010","NA"
"1011","NA"
"1012","NA"
"1013","NA"
"1014","NA"
"1015","NA"
"1016","NA"
"1017","NA"
"1018","NA"
"1019","NA"
"1020","NA"
"1021","NA"
"1022","NA"
"1023","NA"
"1024","NA"
"1025","NA"
"1026","NA"
"1027","NA"
"1028","NA"
"1029","NA"
"1030","NA"
"1031","NA"
"1032","NA"
"1033","NA"
"1034","NA"
"1035","NA"
"1036","NA"
"1037","NA"
"1038","NA"
"1039","NA"
"1040","NA"
"1041","NA"
"1042","NA"
"1043","NA"
"1044","NA"
"1045","NA"
"1046","NA"
"1047","NA"
"1048","NA"
"1049","NA"
"1050","NA"
"1051","NA"
"1052","NA"
"1053","NA"
"1054","NA"
"1055","NA"
"1056","NA"
"1057","NA"
"1058","NA"
"1059","NA"
"1060","NA"
"1061","NA"
"1062","NA"
"1063","NA"
"1064","NA"
"1065","NA"
"1066","NA"
"1067","NA"
"1068","NA"
"1069","NA"
"1070","NA"
"1071","NA"
"1072","NA"
"1073","NA"
"1074","PMS2"
"1075","PMS2"
"1076","PMS2"
"1077","PMS2"
"1078","AKAP9"
"1079","GALNT12"
"1080","GALNT12"
"1081","TLR4"
"1082","KAT5"
"1083","CCND1"
"1084","POLE"
"1085","MLH3"
"1086","MLH3"
"1087","MLH3"
"1088","MLH3"
"1089","MLH3"
"1090","MLH3"
"1091","MLH3"
"1092","MLH3"
"1093","MLH3"
"1094","TP53"
"1095","TP53"
"1096","BRCA1"
"1097","AXIN2"
"1098","AXIN2"
"1099","POLD1"
"1100","POLD1"
"1101","TRIM28"
"1102","CHEK2"
"1103","NA"
"1104","NA"
"1105","COX1"
"1106","NA"
"1107","NA"
"1108","NA"
"1109","NA"
