"","x"
"455","BRCA2"
"456","BRCA2"
"457","BRCA2"
"458","BRCA2"
"459","BRCA2"
"460","BRCA2"
"461","BRCA2"
"462","BRCA2"
"463","BRCA2"
"464","BRCA2"
"465","BRCA2"
"466","BRCA2"
"467","BRCA2"
"468","BRCA2"
"469","BRCA2"
"470","BRCA2"
"471","BRCA2"
"472","BRCA2"
"473","BRCA2"
"474","BRCA2"
"475","BRCA2"
"476","BRCA2"
"477","BRCA2"
"478","BRCA2"
"479","BRCA2"
"480","BRCA2"
"481","BRCA2"
"482","BRCA2"
"483","BRCA2"
"484","BRCA2"
"485","BRCA2"
"486","BRCA2"
"487","BRCA2"
"488","BRCA2"
"489","BRCA2"
"490","BRCA2"
"491","BRCA2"
"492","BRCA2"
"493","BRCA2"
"494","BRCA2"
"495","BRCA2"
"496","BRCA2"
"497","BRCA2"
"498","BRCA2"
"499","BRCA2"
"500","BRCA2"
"501","BRCA2"
"502","BRCA2"
"503","BRCA2"
"504","BRCA2"
"505","BRCA2"
"506","BRCA2"
"507","BRCA2"
"508","BRCA2"
"509","BRCA2"
"510","BRCA2"
"511","BRCA2"
"512","BRCA2"
"513","BRCA2"
"514","BRCA2"
"515","BRCA2"
"516","BRCA2"
"517","BRCA2"
"518","BRCA2"
"519","BRCA2"
"520","BRCA2"
"521","BRCA2"
"522","BRCA2"
"523","BRCA2"
"524","BRCA2"
"525","BRCA2"
"526","BRCA2"
"527","BRCA2"
"528","BRCA2"
"529","BRCA2"
"530","BRCA2"
"531","BRCA2"
"532","BRCA2"
"533","BRCA2"
"534","BRCA2"
"535","BRCA2"
"536","BRCA2"
"537","BRCA2"
"538","BRCA2"
"539","BRCA2"
"540","BRCA2"
"541","BRCA2"
"542","BRCA2"
"543","BRCA2"
"544","BRCA2"
"545","BRCA2"
"546","BRCA2"
"547","BRCA2"
"548","BRCA2"
"549","BRCA2"
"550","BRCA2"
"551","BRCA2"
"552","BRCA2"
"553","BRCA2"
"554","BRCA2"
